env,variant,method,lambda,beta,seed,episode,sample_return,greedy_return,baseline
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,1,0.578125,2.0,0.01
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,20,0.68359375,2.0,0.18968551714135243
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,40,0.91796875,2.0,0.45201226282873147
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,60,1.22265625,2.0,0.6477547045262294
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,80,1.2890625,2.0,0.8299818427736122
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,100,1.49609375,2.0,1.058998514652166
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,120,1.27734375,2.0,1.2850676097733498
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,140,1.71484375,2.0,1.376764303553494
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,160,1.734375,2.0,1.4526266050493224
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,180,1.66796875,2.0,1.5532986025804838
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,200,1.7578125,2.0,1.5977003799354512
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,220,1.86328125,2.0,1.6014559223354472
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,240,1.86328125,2.0,1.6921857525008472
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,260,1.78515625,2.0,1.77190273462977
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,280,1.7421875,2.0,1.7691696332483138
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,300,1.94140625,2.0,1.8458958070334222
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,320,1.921875,2.0,1.8172759926830875
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,340,1.921875,2.0,1.8567429205196484
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,360,2.0,2.0,1.8869820484571385
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,380,1.94140625,2.0,1.8837560664440385
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,0,400,1.921875,2.0,1.8983846232898707
