env,total_pairs,relevant_pairs,irrelevant_pairs,method,seed,episode,sample_return,greedy_return,baseline
lever_20_pairs,20,4,16,shared,0,1,0.5703125,0.5,0.01
lever_20_pairs,20,4,16,shared,0,20,0.66015625,0.75,0.17660919329073196
lever_20_pairs,20,4,16,shared,0,40,0.95703125,2.0,0.41701506620559387
lever_20_pairs,20,4,16,shared,0,60,1.25,2.0,0.6452547569460372
lever_20_pairs,20,4,16,shared,0,80,1.3046875,2.0,0.8407720292072122
lever_20_pairs,20,4,16,shared,0,100,1.5390625,2.0,1.0704559442448698
lever_20_pairs,20,4,16,shared,0,120,1.3828125,2.0,1.3363216024015965
lever_20_pairs,20,4,16,shared,0,140,1.72265625,2.0,1.4349918776163886
lever_20_pairs,20,4,16,shared,0,160,1.77734375,2.0,1.5155097976696712
lever_20_pairs,20,4,16,shared,0,180,1.70703125,2.0,1.6178779431832402
lever_20_pairs,20,4,16,shared,0,200,1.7578125,2.0,1.6442202256537384
lever_20_pairs,20,4,16,shared,0,220,1.84375,2.0,1.6553576474724145
lever_20_pairs,20,4,16,shared,0,240,1.86328125,2.0,1.728170973893638
lever_20_pairs,20,4,16,shared,0,260,1.78515625,2.0,1.7959267552969693
lever_20_pairs,20,4,16,shared,0,280,1.73828125,2.0,1.7852082609593452
lever_20_pairs,20,4,16,shared,0,300,1.94140625,2.0,1.8566033227493188
lever_20_pairs,20,4,16,shared,0,320,1.921875,2.0,1.8244244155327134
lever_20_pairs,20,4,16,shared,0,340,1.921875,2.0,1.861515264599535
lever_20_pairs,20,4,16,shared,0,360,2.0,2.0,1.8901681034088287
lever_20_pairs,20,4,16,shared,0,380,1.94140625,2.0,1.8858831021282367
lever_20_pairs,20,4,16,shared,0,400,1.921875,2.0,1.8998046492688487
lever_20_pairs,20,4,16,shared,0,420,1.8828125,2.0,1.9150138421042733
lever_20_pairs,20,4,16,shared,0,440,1.94140625,2.0,1.9262317478939783
lever_20_pairs,20,4,16,shared,0,460,1.98046875,2.0,1.8845086826770638
lever_20_pairs,20,4,16,shared,0,480,1.94140625,2.0,1.9228970758867108
lever_20_pairs,20,4,16,shared,0,500,2.0,2.0,1.9485254732163397
lever_20_pairs,20,4,16,shared,0,520,1.94140625,2.0,1.9230623158831182
lever_20_pairs,20,4,16,shared,0,540,1.921875,2.0,1.9241357887551946
lever_20_pairs,20,4,16,shared,0,560,1.98046875,2.0,1.909723612276058
lever_20_pairs,20,4,16,shared,0,580,1.84375,2.0,1.9397307638942425
lever_20_pairs,20,4,16,shared,0,600,1.9609375,2.0,1.9157354937554611
lever_20_pairs,20,4,16,shared,0,620,1.98046875,2.0,1.919244343895139
lever_20_pairs,20,4,16,shared,0,640,1.98046875,2.0,1.907510142012312
lever_20_pairs,20,4,16,shared,0,660,2.0,2.0,1.9151938295009225
lever_20_pairs,20,4,16,shared,0,680,1.9609375,2.0,1.9433827245207944
lever_20_pairs,20,4,16,shared,0,700,1.98046875,2.0,1.939142651551028
lever_20_pairs,20,4,16,shared,0,720,1.94140625,2.0,1.9593711490355892
lever_20_pairs,20,4,16,shared,0,740,1.94140625,2.0,1.97287585521291
lever_20_pairs,20,4,16,shared,0,760,1.9609375,2.0,1.9622737866197293
lever_20_pairs,20,4,16,shared,0,780,1.98046875,2.0,1.9543868590310087
lever_20_pairs,20,4,16,shared,0,800,1.9609375,2.0,1.9445483034723126
lever_20_pairs,20,4,16,shared,1,1,0.53125,0.25,0.005
lever_20_pairs,20,4,16,shared,1,20,0.85546875,2.0,0.2629617392128106
lever_20_pairs,20,4,16,shared,1,40,0.890625,2.0,0.4413737899797181
lever_20_pairs,20,4,16,shared,1,60,1.26171875,2.0,0.7217201105245457
lever_20_pairs,20,4,16,shared,1,80,1.3203125,2.0,0.8331885768803252
lever_20_pairs,20,4,16,shared,1,100,1.44921875,2.0,1.0344142174317041
lever_20_pairs,20,4,16,shared,1,120,1.6328125,2.0,1.2690904731001325
