env,method,seed,episode,sample_return,greedy_return,baseline
lbf_3x3_2p1f_coop,lbf_ppo_shared,0,200,0.0625,0.0625,0.1711723889255232
lbf_3x3_2p1f_coop,lbf_ppo_shared,0,400,0.3125,0.0625,0.2688694240107104
lbf_3x3_2p1f_coop,lbf_ppo_shared,0,500,0.125,0.125,0.1208444212298192
lbf_3x3_2p1f_coop,lbf_ppo_shared,1,200,0.0625,0.125,0.1661440362211177
lbf_3x3_2p1f_coop,lbf_ppo_shared,1,400,0.3125,0.0625,0.28898350171264464
lbf_3x3_2p1f_coop,lbf_ppo_shared,1,500,0.5,0.0625,0.31530039151195205
lbf_3x3_2p1f_coop,lbf_ppo_shared,2,200,0.25,0.0625,0.24527559375490313
lbf_3x3_2p1f_coop,lbf_ppo_shared,2,400,0.125,0.0625,0.18876670420717423
lbf_3x3_2p1f_coop,lbf_ppo_shared,2,500,0.375,0.0625,0.30224233260242117
lbf_3x3_2p1f_coop,lbf_ppo_shared,3,200,0.125,0.0625,0.21326420140657457
lbf_3x3_2p1f_coop,lbf_ppo_shared,3,400,0.1875,0.0625,0.2472442423736585
lbf_3x3_2p1f_coop,lbf_ppo_shared,3,500,0.125,0.125,0.23056370645152355
lbf_3x3_2p1f_coop,lbf_ppo_shared,4,200,0.125,0.0625,0.1773599485219381
lbf_3x3_2p1f_coop,lbf_ppo_shared,4,400,0.3125,0.0625,0.31227284783569903
lbf_3x3_2p1f_coop,lbf_ppo_shared,4,500,0.375,0.0,0.2954242968429856
lbf_3x3_2p1f_coop,lbf_ppo_shared,5,200,0.1875,0.0625,0.18670813710560952
lbf_3x3_2p1f_coop,lbf_ppo_shared,5,400,0.25,0.125,0.2422748459372865
lbf_3x3_2p1f_coop,lbf_ppo_shared,5,500,0.25,0.0625,0.2269026881711173
lbf_3x3_2p1f_coop,lbf_ppo_shared,6,200,0.1875,0.125,0.24235774485545863
lbf_3x3_2p1f_coop,lbf_ppo_shared,6,400,0.25,0.25,0.25845457609811945
lbf_3x3_2p1f_coop,lbf_ppo_shared,6,500,0.375,0.0,0.3407670598586827
lbf_3x3_2p1f_coop,lbf_ppo_shared,7,200,0.3125,0.125,0.22315256115424742
lbf_3x3_2p1f_coop,lbf_ppo_shared,7,400,0.25,0.125,0.2058838358498848
lbf_3x3_2p1f_coop,lbf_ppo_shared,7,500,0.125,0.0,0.26334566382454705
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,0,200,0.125,0.0625,0.09512955955866756
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,0,400,0.25,0.0625,0.16535955720550627
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,0,500,0.25,0.125,0.17810405630926499
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,1,200,0.0,0.125,0.06756983786675702
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,1,400,0.25,0.0625,0.22582704657252678
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,1,500,0.125,0.125,0.2449031105590424
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,2,200,0.125,0.0625,0.11651172261337425
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,2,400,0.0625,0.0625,0.06673637859102541
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,2,500,0.0,0.0625,0.06268200586308807
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,3,200,0.0625,0.0625,0.16126280472812846
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,3,400,0.125,0.0625,0.0819890813028394
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,3,500,0.125,0.125,0.1655064541939964
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,4,200,0.125,0.0625,0.13991622081752647
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,4,400,0.25,0.0625,0.17951551805958627
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,4,500,0.125,0.0625,0.13221424150745553
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,5,200,0.0625,0.0625,0.10226793175436616
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,5,400,0.3125,0.125,0.15899185960695145
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,5,500,0.125,0.1875,0.22524348321003917
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,6,200,0.0,0.0,4.599607459652506e-05
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,6,400,0.0,0.0,1.0400821017648688e-07
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,6,500,0.0,0.0,4.945851238724645e-09
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,7,200,0.0,0.0,0.0072732141042983
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,7,400,0.0625,0.125,0.08776437373000538
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,7,500,0.0,0.0,0.09475903884658025
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,0,200,0.0625,0.0625,0.10678316310805698
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,0,400,0.1875,0.0625,0.15296021226173517
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,0,500,0.125,0.125,0.0851451876315961
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,1,200,0.0,0.0,0.10325940561305227
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,1,400,0.3125,0.0625,0.2515064344511975
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,1,500,0.5,0.0625,0.3620514527082648
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,2,200,0.25,0.0625,0.1586810600238336
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,2,400,0.0625,0.0625,0.058402619614037504
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,2,500,0.0,0.0625,0.06228571472328641
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,3,200,0.0625,0.0625,0.09120765505070015
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,3,400,0.1875,0.0625,0.18027605114207923
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,3,500,0.25,0.125,0.20500027268185977
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,4,200,0.125,0.0625,0.1507766203206436
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,4,400,0.1875,0.0625,0.1518109674463181
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,4,500,0.125,0.0625,0.15862641126146954
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,5,200,0.0625,0.0625,0.16190407805969947
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,5,400,0.1875,0.125,0.14072354135901574
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,5,500,0.125,0.0625,0.07709433056626566
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,6,200,0.0,0.0,4.599607459652506e-05
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,6,400,0.25,0.125,0.11870869344703448
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,6,500,0.0,0.0,0.0683274995960433
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,7,200,0.0,0.0,5.195577562244639e-05
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,7,400,0.0625,0.125,0.08515858065765013
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,7,500,0.0,0.0,0.09463512685085511
