env,critic_samples,method,sample_200_mean,sample_200_std,greedy_final_mean,greedy_final_std,critic_mse_mean,critic_mse_std,critic_r2_mean,critic_r2_std,seeds,final_episode
delayed_lever,128,learned_agent_time_cf,1.5908,0.0678,2.0000,0.0000,0.069718,0.006880,0.624925,0.047519,8,400
delayed_lever,128,learned_acct,1.6616,0.0657,2.0000,0.0000,0.069718,0.006880,0.624925,0.047519,8,400
delayed_lever,512,learned_agent_time_cf,1.6616,0.0542,2.0000,0.0000,0.033616,0.003037,0.830623,0.013911,8,400
delayed_lever,512,learned_acct,1.7495,0.0459,2.0000,0.0000,0.033616,0.003037,0.830623,0.013911,8,400
delayed_lever,2048,learned_agent_time_cf,1.6592,0.0387,2.0000,0.0000,0.021725,0.000854,0.887159,0.011053,8,400
delayed_lever,2048,learned_acct,1.7666,0.0369,2.0000,0.0000,0.021725,0.000854,0.887159,0.011053,8,400
delayed_lever,8192,learned_agent_time_cf,1.6567,0.0485,2.0000,0.0000,0.020586,0.000885,0.895147,0.002784,8,400
delayed_lever,8192,learned_acct,1.7793,0.0373,2.0000,0.0000,0.020586,0.000885,0.895147,0.002784,8,400
pair_gate,128,learned_agent_time_cf,1.0495,0.1427,2.0000,0.0000,0.040203,0.008714,0.555191,0.067894,8,400
pair_gate,128,learned_acct,1.1289,0.1431,2.0000,0.0000,0.040203,0.008714,0.555191,0.067894,8,400
pair_gate,512,learned_agent_time_cf,1.2240,0.0748,2.0000,0.0000,0.023697,0.003675,0.762699,0.040572,8,400
pair_gate,512,learned_acct,1.3190,0.0752,2.0000,0.0000,0.023697,0.003675,0.762699,0.040572,8,400
pair_gate,2048,learned_agent_time_cf,1.2051,0.0709,2.0000,0.0000,0.013115,0.002877,0.880522,0.011107,8,400
pair_gate,2048,learned_acct,1.3314,0.0560,2.0000,0.0000,0.013115,0.002877,0.880522,0.011107,8,400
pair_gate,8192,learned_agent_time_cf,1.2122,0.0707,2.0000,0.0000,0.008749,0.002252,0.901910,0.010112,8,400
pair_gate,8192,learned_acct,1.3594,0.0667,2.0000,0.0000,0.008749,0.002252,0.901910,0.010112,8,400
