env,top_fraction,kept_pairs_mean,relevant_mass,relevant_coverage,irrelevant_active,seeds,samples_per_seed,critic_samples
delayed_lever,0.10,2.000,0.9519,0.4761,0.0060,32,256,2048
delayed_lever,0.20,4.000,0.9350,0.8946,0.0264,32,256,2048
delayed_lever,0.30,6.000,0.8752,0.9094,0.1477,32,256,2048
delayed_lever,0.50,10.000,0.8090,0.9355,0.3911,32,256,2048
delayed_lever,1.00,20.000,0.7565,1.0000,1.0000,32,256,2048
pair_gate,0.10,3.000,0.9929,0.4860,0.0047,32,256,2048
pair_gate,0.20,5.000,0.9650,0.7133,0.0400,32,256,2048
pair_gate,0.30,8.000,0.9008,0.8317,0.1672,32,256,2048
pair_gate,0.50,12.000,0.8410,0.8843,0.3719,32,256,2048
pair_gate,1.00,24.000,0.7805,1.0000,1.0000,32,256,2048
