env,method,seed,episode,sample_return,greedy_return,baseline
delayed_lever,shared,0,1,0.5703125,0.5,0.01
delayed_lever,shared,0,20,0.66015625,0.75,0.17660919329073196
delayed_lever,shared,0,40,0.95703125,2.0,0.41701506620559387
delayed_lever,shared,0,60,1.25,2.0,0.6452547569460372
delayed_lever,shared,0,80,1.3046875,2.0,0.8407720292072122
delayed_lever,shared,0,100,1.5390625,2.0,1.0704559442448698
delayed_lever,shared,0,120,1.3828125,2.0,1.3363216024015965
delayed_lever,shared,0,140,1.72265625,2.0,1.4349918776163886
delayed_lever,shared,0,160,1.77734375,2.0,1.5155097976696712
delayed_lever,shared,0,180,1.70703125,2.0,1.6178779431832402
delayed_lever,shared,0,200,1.7578125,2.0,1.6442202256537384
delayed_lever,shared,0,220,1.84375,2.0,1.6553576474724145
delayed_lever,shared,0,240,1.86328125,2.0,1.728170973893638
delayed_lever,shared,0,260,1.78515625,2.0,1.7959267552969693
delayed_lever,shared,0,280,1.73828125,2.0,1.7852082609593452
delayed_lever,shared,0,300,1.94140625,2.0,1.8566033227493188
delayed_lever,shared,0,320,1.921875,2.0,1.8244244155327134
delayed_lever,shared,0,340,1.921875,2.0,1.861515264599535
delayed_lever,shared,0,360,2.0,2.0,1.8901681034088287
delayed_lever,shared,0,380,1.94140625,2.0,1.8858831021282367
delayed_lever,shared,0,400,1.921875,2.0,1.8998046492688487
delayed_lever,shared,0,420,1.8828125,2.0,1.9150138421042733
delayed_lever,shared,0,440,1.94140625,2.0,1.9262317478939783
delayed_lever,shared,0,460,1.98046875,2.0,1.8845086826770638
delayed_lever,shared,0,480,1.94140625,2.0,1.9228970758867108
delayed_lever,shared,0,500,2.0,2.0,1.9485254732163397
delayed_lever,shared,0,520,1.94140625,2.0,1.9230623158831182
delayed_lever,shared,0,540,1.921875,2.0,1.9241357887551946
delayed_lever,shared,0,560,1.98046875,2.0,1.909723612276058
delayed_lever,shared,0,580,1.84375,2.0,1.9397307638942425
delayed_lever,shared,0,600,1.9609375,2.0,1.9157354937554611
delayed_lever,shared,0,620,1.98046875,2.0,1.919244343895139
delayed_lever,shared,0,640,1.98046875,2.0,1.907510142012312
delayed_lever,shared,0,660,2.0,2.0,1.9151938295009225
delayed_lever,shared,0,680,1.9609375,2.0,1.9433827245207944
