env,method,sample_200_mean,sample_200_std,greedy_final_mean,greedy_final_std,seeds,final_episode
delayed_lever,shared,1.7543,0.0792,2.0000,0.0000,32,800
delayed_lever,final_step_cf,0.5371,0.0575,0.2500,0.0000,32,800
delayed_lever,uniform_transport,0.5931,0.0582,2.0000,0.0000,32,800
delayed_lever,agent_time_cf,1.7710,0.0625,2.0000,0.0000,32,800
delayed_lever,sampled_agent_time_shapley,1.7769,0.0741,2.0000,0.0000,32,800
delayed_lever,acct,1.8313,0.0548,2.0000,0.0000,32,800
delayed_lever,learned_agent_time_cf,1.6755,0.0720,2.0000,0.0000,32,800
delayed_lever,learned_acct,1.7684,0.0641,2.0000,0.0000,32,800
pair_gate,shared,1.3722,0.1761,2.0000,0.0000,32,800
pair_gate,final_step_cf,0.3177,0.0414,0.3333,0.0000,32,800
pair_gate,uniform_transport,0.2801,0.0348,2.0000,0.0000,32,800
pair_gate,agent_time_cf,1.4307,0.1027,2.0000,0.0000,32,800
pair_gate,sampled_agent_time_shapley,1.4626,0.0942,2.0000,0.0000,32,800
pair_gate,acct,1.5773,0.0835,2.0000,0.0000,32,800
pair_gate,learned_agent_time_cf,1.1818,0.0916,2.0000,0.0000,32,800
pair_gate,learned_acct,1.3179,0.0903,2.0000,0.0000,32,800
