env,method,seed,episode,sample_return,greedy_return,baseline
lbf_3x3_2p1f_coop,lbf_ppo_shared,0,200,0.0625,0.0625,0.1711723889255232
lbf_3x3_2p1f_coop,lbf_ppo_shared,0,400,0.3125,0.0625,0.2688694240107104
lbf_3x3_2p1f_coop,lbf_ppo_shared,0,600,0.1875,0.0,0.17544162780119155
lbf_3x3_2p1f_coop,lbf_ppo_shared,0,800,0.1875,0.0625,0.20889363378940004
lbf_3x3_2p1f_coop,lbf_ppo_shared,0,1000,0.375,0.3125,0.3158542254549128
lbf_3x3_2p1f_coop,lbf_ppo_shared,1,200,0.0625,0.125,0.1661440362211177
lbf_3x3_2p1f_coop,lbf_ppo_shared,1,400,0.3125,0.0625,0.28898350171264464
lbf_3x3_2p1f_coop,lbf_ppo_shared,1,600,0.25,0.0625,0.24477233009466032
lbf_3x3_2p1f_coop,lbf_ppo_shared,1,800,0.25,0.0,0.32814498204488823
lbf_3x3_2p1f_coop,lbf_ppo_shared,1,1000,0.3125,0.1875,0.356416999092096
lbf_3x3_2p1f_coop,lbf_ppo_shared,2,200,0.25,0.0625,0.24527559375490313
lbf_3x3_2p1f_coop,lbf_ppo_shared,2,400,0.125,0.0625,0.18876670420717423
lbf_3x3_2p1f_coop,lbf_ppo_shared,2,600,0.25,0.0625,0.26764524287730335
lbf_3x3_2p1f_coop,lbf_ppo_shared,2,800,0.1875,0.25,0.2776304322236015
lbf_3x3_2p1f_coop,lbf_ppo_shared,2,1000,0.375,0.0625,0.36431797116415454
lbf_3x3_2p1f_coop,lbf_ppo_shared,3,200,0.125,0.0625,0.21326420140657457
lbf_3x3_2p1f_coop,lbf_ppo_shared,3,400,0.1875,0.0625,0.2472442423736585
lbf_3x3_2p1f_coop,lbf_ppo_shared,3,600,0.3125,0.125,0.2674955109332746
lbf_3x3_2p1f_coop,lbf_ppo_shared,3,800,0.375,0.1875,0.2845867290686507
lbf_3x3_2p1f_coop,lbf_ppo_shared,3,1000,0.3125,0.0625,0.29109362534930405
lbf_3x3_2p1f_coop,lbf_ppo_shared,4,200,0.125,0.0625,0.1773599485219381
lbf_3x3_2p1f_coop,lbf_ppo_shared,4,400,0.3125,0.0625,0.31227284783569903
lbf_3x3_2p1f_coop,lbf_ppo_shared,4,600,0.375,0.0,0.38743556830466075
lbf_3x3_2p1f_coop,lbf_ppo_shared,4,800,0.3125,0.0625,0.31814105905467993
lbf_3x3_2p1f_coop,lbf_ppo_shared,4,1000,0.3125,0.125,0.33020175739072627
lbf_3x3_2p1f_coop,lbf_ppo_shared,5,200,0.1875,0.0625,0.18670813710560952
lbf_3x3_2p1f_coop,lbf_ppo_shared,5,400,0.25,0.125,0.2422748459372865
lbf_3x3_2p1f_coop,lbf_ppo_shared,5,600,0.25,0.1875,0.2249833035043449
lbf_3x3_2p1f_coop,lbf_ppo_shared,5,800,0.3125,0.0,0.2864956892875507
lbf_3x3_2p1f_coop,lbf_ppo_shared,5,1000,0.125,0.125,0.2283503307399993
lbf_3x3_2p1f_coop,lbf_ppo_shared,6,200,0.1875,0.125,0.24235774485545863
lbf_3x3_2p1f_coop,lbf_ppo_shared,6,400,0.25,0.25,0.25845457609811945
lbf_3x3_2p1f_coop,lbf_ppo_shared,6,600,0.3125,0.125,0.23943462881674077
lbf_3x3_2p1f_coop,lbf_ppo_shared,6,800,0.375,0.0,0.3752996182554351
lbf_3x3_2p1f_coop,lbf_ppo_shared,6,1000,0.4375,0.1875,0.3576701927986753
lbf_3x3_2p1f_coop,lbf_ppo_shared,7,200,0.3125,0.125,0.22315256115424742
lbf_3x3_2p1f_coop,lbf_ppo_shared,7,400,0.25,0.125,0.2058838358498848
lbf_3x3_2p1f_coop,lbf_ppo_shared,7,600,0.3125,0.0,0.27502621815947803
lbf_3x3_2p1f_coop,lbf_ppo_shared,7,800,0.3125,0.125,0.28199816485307216
lbf_3x3_2p1f_coop,lbf_ppo_shared,7,1000,0.375,0.0625,0.3016720923322776
lbf_3x3_2p1f_coop,lbf_ppo_shared,8,200,0.4375,0.0625,0.32027726296508696
lbf_3x3_2p1f_coop,lbf_ppo_shared,8,400,0.375,0.0625,0.2542439196629111
lbf_3x3_2p1f_coop,lbf_ppo_shared,8,600,0.1875,0.0625,0.2020221821714672
lbf_3x3_2p1f_coop,lbf_ppo_shared,8,800,0.25,0.0625,0.25411195464157765
lbf_3x3_2p1f_coop,lbf_ppo_shared,8,1000,0.375,0.0625,0.35101411014467754
lbf_3x3_2p1f_coop,lbf_ppo_shared,9,200,0.1875,0.0625,0.2140283872209482
lbf_3x3_2p1f_coop,lbf_ppo_shared,9,400,0.3125,0.0625,0.2606679095699877
lbf_3x3_2p1f_coop,lbf_ppo_shared,9,600,0.3125,0.0,0.32723727664433067
lbf_3x3_2p1f_coop,lbf_ppo_shared,9,800,0.1875,0.1875,0.2488866858381383
lbf_3x3_2p1f_coop,lbf_ppo_shared,9,1000,0.3125,0.125,0.33209293068034146
lbf_3x3_2p1f_coop,lbf_ppo_shared,10,200,0.0625,0.0625,0.18809107001922087
lbf_3x3_2p1f_coop,lbf_ppo_shared,10,400,0.1875,0.125,0.21461092543724805
lbf_3x3_2p1f_coop,lbf_ppo_shared,10,600,0.25,0.125,0.2985406997688675
lbf_3x3_2p1f_coop,lbf_ppo_shared,10,800,0.25,0.0625,0.24961031566646252
lbf_3x3_2p1f_coop,lbf_ppo_shared,10,1000,0.4375,0.0,0.36393196990959376
lbf_3x3_2p1f_coop,lbf_ppo_shared,11,200,0.1875,0.125,0.2149839128816749
lbf_3x3_2p1f_coop,lbf_ppo_shared,11,400,0.3125,0.1875,0.24855450885560532
lbf_3x3_2p1f_coop,lbf_ppo_shared,11,600,0.3125,0.125,0.31977187316416333
lbf_3x3_2p1f_coop,lbf_ppo_shared,11,800,0.3125,0.1875,0.37393871369199533
lbf_3x3_2p1f_coop,lbf_ppo_shared,11,1000,0.25,0.25,0.28590679025624255
lbf_3x3_2p1f_coop,lbf_ppo_shared,12,200,0.3125,0.0625,0.222391435570437
lbf_3x3_2p1f_coop,lbf_ppo_shared,12,400,0.375,0.125,0.3115061823025434
lbf_3x3_2p1f_coop,lbf_ppo_shared,12,600,0.25,0.0625,0.3095158442048954
lbf_3x3_2p1f_coop,lbf_ppo_shared,12,800,0.25,0.0,0.21433112954716943
lbf_3x3_2p1f_coop,lbf_ppo_shared,12,1000,0.375,0.125,0.34968754226758253
lbf_3x3_2p1f_coop,lbf_ppo_shared,13,200,0.25,0.125,0.19234528771297724
lbf_3x3_2p1f_coop,lbf_ppo_shared,13,400,0.25,0.125,0.16573437907446015
lbf_3x3_2p1f_coop,lbf_ppo_shared,13,600,0.25,0.3125,0.15955687522791323
lbf_3x3_2p1f_coop,lbf_ppo_shared,13,800,0.3125,0.0625,0.23494511087404335
lbf_3x3_2p1f_coop,lbf_ppo_shared,13,1000,0.3125,0.0625,0.29772166128798416
lbf_3x3_2p1f_coop,lbf_ppo_shared,14,200,0.25,0.25,0.23524415613332922
lbf_3x3_2p1f_coop,lbf_ppo_shared,14,400,0.3125,0.3125,0.29080055382422537
lbf_3x3_2p1f_coop,lbf_ppo_shared,14,600,0.4375,0.125,0.32772817172944935
lbf_3x3_2p1f_coop,lbf_ppo_shared,14,800,0.3125,0.1875,0.3442186858026775
lbf_3x3_2p1f_coop,lbf_ppo_shared,14,1000,0.25,0.0625,0.3040644801464456
lbf_3x3_2p1f_coop,lbf_ppo_shared,15,200,0.375,0.0625,0.3000437089976329
lbf_3x3_2p1f_coop,lbf_ppo_shared,15,400,0.4375,0.0625,0.2807284599491728
lbf_3x3_2p1f_coop,lbf_ppo_shared,15,600,0.1875,0.0625,0.2533230351574001
lbf_3x3_2p1f_coop,lbf_ppo_shared,15,800,0.375,0.125,0.3161903582400657
lbf_3x3_2p1f_coop,lbf_ppo_shared,15,1000,0.125,0.0625,0.2626562612912423
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,0,200,0.125,0.0625,0.09512955955866756
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,0,400,0.25,0.0625,0.16535955720550627
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,0,600,0.3125,0.0,0.27244167904690664
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,0,800,0.125,0.0625,0.16371942266971226
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,0,1000,0.3125,0.4375,0.2718659808058984
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,1,200,0.0,0.125,0.06756983786675702
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,1,400,0.25,0.0625,0.22582704657252678
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,1,600,0.25,0.125,0.2171494475048285
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,1,800,0.25,0.0625,0.2967044648172966
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,1,1000,0.3125,0.0625,0.24705453853247789
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,2,200,0.125,0.0625,0.11651172261337425
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,2,400,0.0625,0.0625,0.06673637859102541
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,2,600,0.0625,0.0625,0.09001074241074224
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,2,800,0.0625,0.0625,0.08642173402773581
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,2,1000,0.1875,0.125,0.1575798805325449
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,3,200,0.0625,0.0625,0.16126280472812846
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,3,400,0.125,0.0625,0.0819890813028394
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,3,600,0.4375,0.1875,0.30158148720332706
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,3,800,0.1875,0.1875,0.243076779819994
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,3,1000,0.3125,0.0625,0.2497985553147568
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,4,200,0.125,0.0625,0.13991622081752647
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,4,400,0.25,0.0625,0.17951551805958627
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,4,600,0.125,0.0625,0.13623492164603837
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,4,800,0.3125,0.0,0.2132332656551495
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,4,1000,0.0625,0.0625,0.15694288968936557
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,5,200,0.0625,0.0625,0.10226793175436616
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,5,400,0.3125,0.125,0.15899185960695145
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,5,600,0.125,0.3125,0.1943917113799672
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,5,800,0.3125,0.0,0.27439769880119447
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,5,1000,0.25,0.1875,0.24501262104348437
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,6,200,0.0,0.0,4.599607459652506e-05
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,6,400,0.0,0.0,1.0400821017648688e-07
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,6,600,0.0,0.0,2.351876302273308e-10
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,6,800,0.0,0.0,5.318159145137597e-13
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,6,1000,0.0,0.0,1.2025639556669157e-15
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,7,200,0.0,0.0,0.0072732141042983
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,7,400,0.0625,0.125,0.08776437373000538
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,7,600,0.1875,0.125,0.14651873938121507
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,7,800,0.125,0.125,0.13679667607320756
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,7,1000,0.1875,0.125,0.10997789150699697
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,8,200,0.0,0.0,0.004550861322710241
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,8,400,0.1875,0.0625,0.10674136451616245
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,8,600,0.125,0.0625,0.11852988451451342
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,8,800,0.0,0.0625,0.13011164061742378
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,8,1000,0.125,0.0625,0.19439989703551852
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,9,200,0.0,0.0625,0.09556194304864521
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,9,400,0.25,0.0625,0.23300367502596991
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,9,600,0.1875,0.0,0.144145800500065
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,9,800,0.375,0.0,0.30794394357038174
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,9,1000,0.3125,0.125,0.3397957888942135
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,10,200,0.0,0.0625,0.1027173386050035
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,10,400,0.0625,0.125,0.11036217752905415
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,10,600,0.375,0.0,0.24456568220783853
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,10,800,0.0625,0.0625,0.11114557961971447
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,10,1000,0.375,0.125,0.22858743221421618
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,11,200,0.0,0.0,0.0
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,11,400,0.0,0.0,0.0
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,11,600,0.0,0.0,0.0
