env,method,metric,mean,std,seeds,final_episode
delayed_simple_spread_mappo,mappo_shared_gae,greedy_final,-0.9028,0.1463,16,600
delayed_simple_spread_mappo,mappo_shared_gae,sample_final,-0.9437,0.0947,16,600
delayed_simple_spread_mappo,mappo_learned_agent_time_cf,greedy_final,-0.8638,0.0940,16,600
delayed_simple_spread_mappo,mappo_learned_agent_time_cf,sample_final,-0.9098,0.0838,16,600
delayed_simple_spread_mappo,mappo_learned_acct,greedy_final,-0.8570,0.1085,16,600
delayed_simple_spread_mappo,mappo_learned_acct,sample_final,-0.9118,0.0723,16,600
delayed_simple_spread_mappo,mappo_gae_plus_agent_time_cf,greedy_final,-0.8607,0.0837,16,600
delayed_simple_spread_mappo,mappo_gae_plus_agent_time_cf,sample_final,-0.8859,0.0771,16,600
delayed_simple_spread_mappo,mappo_gae_plus_acct,greedy_final,-0.8663,0.0777,16,600
delayed_simple_spread_mappo,mappo_gae_plus_acct,sample_final,-0.8972,0.0608,16,600
