env,method,seed,episode,sample_return,greedy_return,baseline
rware-tiny-2ag-easy-v2,rware_ppo_shared,2,200,0.0,0.0,0.0044356843109869875
rware-tiny-2ag-easy-v2,rware_ppo_shared,2,400,0.0,0.0,1.0030151271398584e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,2,600,0.0,0.0,2.2680589391347636e-08
rware-tiny-2ag-easy-v2,rware_ppo_shared,2,800,0.0,0.0,5.128627886259012e-11
rware-tiny-2ag-easy-v2,rware_ppo_shared,2,1000,0.0,0.0,1.1597063701416768e-13
rware-tiny-2ag-easy-v2,rware_ppo_shared,3,200,0.0,0.0,0.0024121000353236484
rware-tiny-2ag-easy-v2,rware_ppo_shared,3,400,0.0,0.0,5.4543395200860685e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,3,600,0.0,0.0,0.00017570938045718257
rware-tiny-2ag-easy-v2,rware_ppo_shared,3,800,0.0,0.0,3.9732125693072956e-07
rware-tiny-2ag-easy-v2,rware_ppo_shared,3,1000,0.0,0.0,8.984391203148299e-10
rware-tiny-2ag-easy-v2,rware_ppo_shared,0,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,0,400,0.0,0.0,0.004048329307161426
rware-tiny-2ag-easy-v2,rware_ppo_shared,0,600,0.0,0.0,9.15424825132116e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,0,800,0.0,0.0,2.0699961561569418e-08
rware-tiny-2ag-easy-v2,rware_ppo_shared,0,1000,0.0,0.0,4.680760198835672e-11
rware-tiny-2ag-easy-v2,rware_ppo_shared,1,200,0.0,0.0,0.0016198932199448525
rware-tiny-2ag-easy-v2,rware_ppo_shared,1,400,0.0,0.0,3.6629689807533905e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,1,600,0.0,0.0,8.28285567762196e-09
rware-tiny-2ag-easy-v2,rware_ppo_shared,1,800,0.0,0.0,0.0026422444184154626
rware-tiny-2ag-easy-v2,rware_ppo_shared,1,1000,0.0,0.0,0.008686147561230503
rware-tiny-2ag-easy-v2,rware_ppo_shared,4,200,0.0,0.0,0.003006248653314057
rware-tiny-2ag-easy-v2,rware_ppo_shared,4,400,0.0,0.0,0.00018249489962209565
rware-tiny-2ag-easy-v2,rware_ppo_shared,4,600,0.0,0.0,4.126649511405435e-07
rware-tiny-2ag-easy-v2,rware_ppo_shared,4,800,0.0,0.0,9.331349109068966e-10
rware-tiny-2ag-easy-v2,rware_ppo_shared,4,1000,0.0,0.0,2.1100429284014206e-12
rware-tiny-2ag-easy-v2,rware_ppo_shared,7,200,0.0,0.0,0.00021092791335280611
rware-tiny-2ag-easy-v2,rware_ppo_shared,7,400,0.0,0.0,4.769588478261983e-07
rware-tiny-2ag-easy-v2,rware_ppo_shared,7,600,0.0,0.0,5.8688752286918474e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,7,800,0.0,0.0,1.3270941349666281e-07
rware-tiny-2ag-easy-v2,rware_ppo_shared,7,1000,0.0,0.0,0.0006125246485316889
rware-tiny-2ag-easy-v2,rware_ppo_shared,5,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,5,400,0.0,0.0,0.00828311741598116
rware-tiny-2ag-easy-v2,rware_ppo_shared,5,600,0.0,0.0,0.004454414435778613
rware-tiny-2ag-easy-v2,rware_ppo_shared,5,800,0.0,0.0,1.0072504597699754e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,5,1000,0.0,0.0,2.2776360469689597e-08
rware-tiny-2ag-easy-v2,rware_ppo_shared,6,200,0.0,0.0,0.0012546342500424832
rware-tiny-2ag-easy-v2,rware_ppo_shared,6,400,0.0,0.0,2.8370304187413424e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,6,600,0.0,0.0,5.693345876450082e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,6,800,0.0,0.0,0.0001382749797602056
rware-tiny-2ag-easy-v2,rware_ppo_shared,6,1000,0.0,0.0,0.010041256216938488
rware-tiny-2ag-easy-v2,rware_ppo_shared,8,200,0.0,0.0,0.0044356843109869875
rware-tiny-2ag-easy-v2,rware_ppo_shared,8,400,0.0,0.0,0.00011795270422064356
rware-tiny-2ag-easy-v2,rware_ppo_shared,8,600,0.0,0.0,7.985141387289225e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,8,800,0.0,0.0,1.8056329175552874e-07
rware-tiny-2ag-easy-v2,rware_ppo_shared,8,1000,0.0,0.0,4.0829712021743225e-10
rware-tiny-2ag-easy-v2,rware_ppo_shared,9,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,9,400,0.0,0.0,0.004573724740625321
rware-tiny-2ag-easy-v2,rware_ppo_shared,9,600,0.0,0.0,1.0342293951934222e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,9,800,0.0,0.0,0.001481664645634245
rware-tiny-2ag-easy-v2,rware_ppo_shared,9,1000,0.0,0.0,3.350400859768998e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,11,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,11,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,11,600,0.0,0.0,0.00012956324139422188
rware-tiny-2ag-easy-v2,rware_ppo_shared,11,800,0.0,0.0,0.0005944415917052379
rware-tiny-2ag-easy-v2,rware_ppo_shared,11,1000,0.0,0.0,1.3441757052110428e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,10,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,10,400,0.0,0.0,5.0397102353773e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,10,600,0.0,0.0,7.731111354406988e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,10,800,0.0,0.0,0.00029505458924153864
rware-tiny-2ag-easy-v2,rware_ppo_shared,10,1000,0.0,0.0,0.0008834676394334468
rware-tiny-2ag-easy-v2,rware_ppo_shared,12,200,0.0,0.0,0.0035839568281422914
rware-tiny-2ag-easy-v2,rware_ppo_shared,12,400,0.0,0.0,8.104190157849694e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,12,600,0.0,0.0,1.8325527137733774e-08
rware-tiny-2ag-easy-v2,rware_ppo_shared,12,800,0.0,0.0,5.3562696719306095e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,12,1000,0.0,0.0,1.211181664276606e-07
rware-tiny-2ag-easy-v2,rware_ppo_shared,13,200,0.0,0.0,0.0003998781154919826
rware-tiny-2ag-easy-v2,rware_ppo_shared,13,400,0.0,0.0,0.00018763718591329262
rware-tiny-2ag-easy-v2,rware_ppo_shared,13,600,0.0,0.0,0.003133023816531304
rware-tiny-2ag-easy-v2,rware_ppo_shared,13,800,0.0,0.0,7.084521939234033e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,13,1000,0.0,0.0,1.6019811545210713e-08
rware-tiny-2ag-easy-v2,rware_ppo_shared,15,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,15,400,0.0,0.0,0.008937390657882073
rware-tiny-2ag-easy-v2,rware_ppo_shared,15,600,0.0,0.0,0.0021592214187793266
rware-tiny-2ag-easy-v2,rware_ppo_shared,15,800,0.0,0.0,4.882520021805052e-06
rware-tiny-2ag-easy-v2,rware_ppo_shared,15,1000,0.0,0.0,1.1040554505430993e-08
rware-tiny-2ag-easy-v2,rware_ppo_shared,14,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,14,400,0.0,0.0,0.0004863797721950692
rware-tiny-2ag-easy-v2,rware_ppo_shared,14,600,0.0,0.0,0.0022846044741075683
rware-tiny-2ag-easy-v2,rware_ppo_shared,14,800,0.0,0.0,0.004665236036374369
rware-tiny-2ag-easy-v2,rware_ppo_shared,14,1000,0.0625,0.0,0.01674343013932552
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,0,200,0.0,0.0,0.00048006189058666756
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,0,400,0.0,0.0,1.0855356343306725e-06
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,0,600,0.0,0.0,2.4546576941602823e-09
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,0,800,0.0,0.0,5.5505726435368725e-12
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,0,1000,0.0,0.0,1.255118249052618e-14
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,1,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,1,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,1,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,1,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,1,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,2,200,0.0625,0.0,0.013747022043554968
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,2,400,0.0,0.0,3.1085330010202275e-05
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,2,600,0.0,0.0,7.029142302832148e-08
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,2,800,0.0,0.0,1.5894584840260128e-10
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,2,1000,0.0,0.0,3.594148707765322e-13
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,3,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,3,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,3,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,3,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,3,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,4,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,4,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,4,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,4,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,4,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,5,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,5,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,5,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,5,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,5,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,6,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,6,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,6,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,6,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,6,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,7,200,0.0,0.0,0.007912207689584169
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,7,400,0.0,0.0,1.7891408507291564e-05
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,7,600,0.0,0.0,4.045678664327477e-08
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,7,800,0.0,0.0,9.148254509042178e-11
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,7,1000,0.0,0.0,2.068640826572484e-13
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,8,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,8,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,8,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,8,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,8,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,10,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,10,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,10,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,10,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,10,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,11,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,11,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,11,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,11,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,11,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,9,200,0.0,0.0,0.0006748221596185433
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,9,400,0.0,0.0,1.5259355417833595e-06
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,9,600,0.0,0.0,3.4505080256906364e-09
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,9,800,0.0,0.0,7.802430253011182e-12
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,9,1000,0.0,0.0,1.7643175265740535e-14
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,13,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,13,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,13,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,13,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,13,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,12,200,0.0,0.0,0.00011470140604659898
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,12,400,0.0,0.0,2.593675232567459e-07
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,12,600,0.0,0.0,5.864924802491838e-10
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,12,800,0.0,0.0,1.3262008483935848e-12
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,12,1000,0.0,0.0,2.9988597458787512e-15
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,14,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,14,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,14,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,14,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,14,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,15,200,0.0,0.0,8.204607668130786e-05
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,15,400,0.0,0.0,1.8552595330103056e-07
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,15,600,0.0,0.0,4.195188940228493e-10
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,15,800,0.0,0.0,9.486333276325335e-13
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,15,1000,0.0,0.0,2.145088583891434e-15
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,1,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,1,400,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,1,600,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,1,800,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,1,1000,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,2,200,0.0,0.0,0.0001826033877073667
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,2,400,0.0,0.0,4.12910268848054e-07
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,2,600,0.0,0.0,9.336896333675971e-10
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,2,800,0.0,0.0,2.1112972895787236e-12
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,2,1000,0.0,0.0,4.774152015488316e-15
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,0,200,0.0,0.0,0.00048006189058666756
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,0,400,0.0,0.0,1.0855356343306725e-06
