metric,mean,std,seeds
q_mse,0.03283939097497543,0.013771379016401991,8
q_r2,0.28150436047370897,0.16071229971466847,8
v_mse,0.031786845676906345,0.013801822893344964,8
v_r2,0.3103943106074291,0.15868692431192996,8
mean_abs_influence,0.013485954832285643,0.0009385342526299111,8
p95_abs_influence,0.03433867562562226,0.0019677664868082948,8
mean_action_spread,0.016158143872744404,0.0011383472323179622,8
time_abs_influence_abs_gae_corr,-0.021413793496611096,0.09162295125158772,8
signed_influence_gae_corr,-0.023550149312239647,0.020030781074183015,8
acct_credit_gae_corr,0.10883112575852719,0.01852683313261239,8
