env,method,top_fraction,seed,episode,sample_return,greedy_return,baseline
delayed_lever,learned_pruned_acct,0.10,0,1,0.57421875,0.5,0.01
delayed_lever,learned_pruned_acct,0.10,0,20,0.59375,2.0,0.16866102007117412
delayed_lever,learned_pruned_acct,0.10,0,40,0.7578125,2.0,0.40393693594220315
delayed_lever,learned_pruned_acct,0.10,0,60,0.90234375,2.0,0.5573944653525487
delayed_lever,learned_pruned_acct,0.10,0,80,1.078125,2.0,0.7030841462936004
delayed_lever,learned_pruned_acct,0.10,0,100,1.3671875,2.0,0.8821829203060596
delayed_lever,learned_pruned_acct,0.10,0,120,1.1875,2.0,1.167024109457274
delayed_lever,learned_pruned_acct,0.10,0,140,1.6484375,2.0,1.2588760001260126
delayed_lever,learned_pruned_acct,0.10,0,160,1.671875,2.0,1.3113838441144654
delayed_lever,learned_pruned_acct,0.10,0,180,1.6875,2.0,1.4365437722878391
delayed_lever,learned_pruned_acct,0.10,0,200,1.73828125,2.0,1.5197539244911689
delayed_lever,learned_pruned_acct,0.10,0,220,1.84375,2.0,1.5534219040645398
delayed_lever,learned_pruned_acct,0.10,0,240,1.8828125,2.0,1.635117858987759
delayed_lever,learned_pruned_acct,0.10,0,260,1.78515625,2.0,1.7116576944675612
delayed_lever,learned_pruned_acct,0.10,0,280,1.76171875,2.0,1.7489678479460622
delayed_lever,learned_pruned_acct,0.10,0,300,1.94140625,2.0,1.8324089341219543
delayed_lever,learned_pruned_acct,0.10,0,320,1.921875,2.0,1.8082720488133435
delayed_lever,learned_pruned_acct,0.10,0,340,1.9609375,2.0,1.8507318158149717
delayed_lever,learned_pruned_acct,0.10,0,360,2.0,2.0,1.8829689870372415
delayed_lever,learned_pruned_acct,0.10,0,380,1.9609375,2.0,1.8810769146489723
delayed_lever,learned_pruned_acct,0.10,0,400,1.9609375,2.0,1.8965960001939421
delayed_lever,learned_pruned_acct,0.10,0,420,1.90234375,2.0,1.9128717224033007
delayed_lever,learned_pruned_acct,0.10,0,440,1.94140625,2.0,1.9418324673111529
delayed_lever,learned_pruned_acct,0.10,0,460,1.98046875,2.0,1.8949238473250838
delayed_lever,learned_pruned_acct,0.10,0,480,1.94140625,2.0,1.929850322832871
delayed_lever,learned_pruned_acct,0.10,0,500,2.0,2.0,1.9531675163071782
delayed_lever,learned_pruned_acct,0.10,0,520,1.9609375,2.0,1.9261613808557931
delayed_lever,learned_pruned_acct,0.10,0,540,1.94140625,2.0,1.9262047492359393
delayed_lever,learned_pruned_acct,0.10,0,560,1.98046875,2.0,1.911104866786249
delayed_lever,learned_pruned_acct,0.10,0,580,1.90234375,2.0,1.9406529004162687
delayed_lever,learned_pruned_acct,0.10,0,600,1.98046875,2.0,1.9163511194486125
delayed_lever,learned_pruned_acct,0.10,0,620,1.98046875,2.0,1.9441553405155036
delayed_lever,learned_pruned_acct,0.10,0,640,2.0,2.0,1.9241409219404313
delayed_lever,learned_pruned_acct,0.10,0,660,2.0,2.0,1.9262966707574398
delayed_lever,learned_pruned_acct,0.10,0,680,1.9609375,2.0,1.950795069852777
delayed_lever,learned_pruned_acct,0.10,0,700,2.0,2.0,1.9440911923840616
delayed_lever,learned_pruned_acct,0.10,0,720,1.94140625,2.0,1.9626748343442775
delayed_lever,learned_pruned_acct,0.10,0,740,1.94140625,2.0,1.9750814218611603
delayed_lever,learned_pruned_acct,0.10,0,760,1.98046875,2.0,1.9833641585897086
delayed_lever,learned_pruned_acct,0.10,0,780,2.0,2.0,1.968466959485447
delayed_lever,learned_pruned_acct,0.10,0,800,1.98046875,2.0,1.9539482907788077
delayed_lever,learned_pruned_acct,0.10,1,1,0.5390625,0.75,0.005
delayed_lever,learned_pruned_acct,0.10,1,20,0.67578125,2.0,0.2583577392128106
delayed_lever,learned_pruned_acct,0.10,1,40,0.8203125,2.0,0.4049880075991327
delayed_lever,learned_pruned_acct,0.10,1,60,0.9453125,2.0,0.6196351002402517
delayed_lever,learned_pruned_acct,0.10,1,80,1.109375,2.0,0.7285610346608077
delayed_lever,learned_pruned_acct,0.10,1,100,1.3828125,2.0,0.8731430684526742
delayed_lever,learned_pruned_acct,0.10,1,120,1.51171875,2.0,1.1614245684276285
delayed_lever,learned_pruned_acct,0.10,1,140,1.51953125,2.0,1.2875882597229418
delayed_lever,learned_pruned_acct,0.10,1,160,1.6796875,2.0,1.397235329374061
delayed_lever,learned_pruned_acct,0.10,1,180,1.546875,2.0,1.471536087716416
delayed_lever,learned_pruned_acct,0.10,1,200,1.7421875,2.0,1.5777048069337214
delayed_lever,learned_pruned_acct,0.10,1,220,1.69921875,2.0,1.6550057544067203
delayed_lever,learned_pruned_acct,0.10,1,240,1.89453125,2.0,1.7287920977743765
delayed_lever,learned_pruned_acct,0.10,1,260,1.94140625,2.0,1.703166463762067
delayed_lever,learned_pruned_acct,0.10,1,280,1.90234375,2.0,1.715311267258843
delayed_lever,learned_pruned_acct,0.10,1,300,1.86328125,2.0,1.8099395325531482
delayed_lever,learned_pruned_acct,0.10,1,320,1.8828125,2.0,1.8137318144688803
delayed_lever,learned_pruned_acct,0.10,1,340,1.8828125,2.0,1.8756458744550677
delayed_lever,learned_pruned_acct,0.10,1,360,1.8828125,2.0,1.8684701944655688
delayed_lever,learned_pruned_acct,0.10,1,380,1.86328125,2.0,1.8904865149706478
delayed_lever,learned_pruned_acct,0.10,1,400,1.98046875,2.0,1.8630798430337416
delayed_lever,learned_pruned_acct,0.10,1,420,1.921875,2.0,1.8881540329881703
delayed_lever,learned_pruned_acct,0.10,1,440,1.90234375,2.0,1.9018009408142453
delayed_lever,learned_pruned_acct,0.10,1,460,1.94140625,2.0,1.9094415252687398
delayed_lever,learned_pruned_acct,0.10,1,480,1.86328125,2.0,1.9145424403594289
delayed_lever,learned_pruned_acct,0.10,1,500,1.94140625,2.0,1.942947851937218
delayed_lever,learned_pruned_acct,0.10,1,520,1.94140625,2.0,1.9619115311475348
delayed_lever,learned_pruned_acct,0.10,1,540,1.98046875,2.0,1.931230786025276
delayed_lever,learned_pruned_acct,0.10,1,560,1.94140625,2.0,1.9540891245391425
delayed_lever,learned_pruned_acct,0.10,1,580,1.94140625,2.0,1.9693495335520763
delayed_lever,learned_pruned_acct,0.10,1,600,1.9609375,2.0,1.979537504261354
delayed_lever,learned_pruned_acct,0.10,1,620,1.98046875,2.0,1.9863390747228753
delayed_lever,learned_pruned_acct,0.10,1,640,1.94140625,2.0,1.9908798573834414
delayed_lever,learned_pruned_acct,0.10,1,660,1.94140625,2.0,1.9939113200856422
delayed_lever,learned_pruned_acct,0.10,1,680,1.94140625,2.0,1.99593514875171
delayed_lever,learned_pruned_acct,0.10,1,700,1.9609375,2.0,1.9802554572966458
delayed_lever,learned_pruned_acct,0.10,1,720,1.98046875,2.0,1.9694400026211567
delayed_lever,learned_pruned_acct,0.10,1,740,2.0,2.0,1.9230439924880138
delayed_lever,learned_pruned_acct,0.10,1,760,1.98046875,2.0,1.9486235559105534
delayed_lever,learned_pruned_acct,0.10,1,780,2.0,2.0,1.9472364487993201
delayed_lever,learned_pruned_acct,0.10,1,800,1.95703125,2.0,1.9647746326003181
delayed_lever,learned_pruned_acct,0.10,2,1,0.55078125,0.5,0.01
delayed_lever,learned_pruned_acct,0.10,2,20,0.7109375,2.0,0.21176234123374618
delayed_lever,learned_pruned_acct,0.10,2,40,0.8046875,2.0,0.35017419057278193
delayed_lever,learned_pruned_acct,0.10,2,60,0.83203125,2.0,0.46315343368360395
delayed_lever,learned_pruned_acct,0.10,2,80,0.953125,2.0,0.664289625845115
delayed_lever,learned_pruned_acct,0.10,2,100,1.125,2.0,0.9122477004796068
delayed_lever,learned_pruned_acct,0.10,2,120,1.4140625,2.0,1.0137346002737395
delayed_lever,learned_pruned_acct,0.10,2,140,1.5390625,2.0,1.1254322958298748
delayed_lever,learned_pruned_acct,0.10,2,160,1.53515625,2.0,1.1942557945527144
delayed_lever,learned_pruned_acct,0.10,2,180,1.7578125,2.0,1.414617425516415
delayed_lever,learned_pruned_acct,0.10,2,200,1.6640625,2.0,1.543131679262103
delayed_lever,learned_pruned_acct,0.10,2,220,1.74609375,2.0,1.6105602688995355
delayed_lever,learned_pruned_acct,0.10,2,240,1.90234375,2.0,1.7159969309991694
delayed_lever,learned_pruned_acct,0.10,2,260,1.86328125,2.0,1.749824023208741
delayed_lever,learned_pruned_acct,0.10,2,280,1.78515625,2.0,1.7631816479879934
delayed_lever,learned_pruned_acct,0.10,2,300,1.9609375,2.0,1.823803237324068
delayed_lever,learned_pruned_acct,0.10,2,320,1.82421875,2.0,1.8375159425868535
delayed_lever,learned_pruned_acct,0.10,2,340,1.78125,2.0,1.8509140609001355
delayed_lever,learned_pruned_acct,0.10,2,360,1.921875,2.0,1.8804507548115912
delayed_lever,learned_pruned_acct,0.10,2,380,1.83984375,2.0,1.920187970894914
delayed_lever,learned_pruned_acct,0.10,2,400,1.94140625,2.0,1.885220551762699
delayed_lever,learned_pruned_acct,0.10,2,420,1.94140625,2.0,1.8781650471988793
delayed_lever,learned_pruned_acct,0.10,2,440,1.94140625,2.0,1.8781013986655686
delayed_lever,learned_pruned_acct,0.10,2,460,1.8828125,2.0,1.9008864778488215
delayed_lever,learned_pruned_acct,0.10,2,480,1.94140625,2.0,1.9338310225031479
delayed_lever,learned_pruned_acct,0.10,2,500,1.94140625,2.0,1.9558250631402179
delayed_lever,learned_pruned_acct,0.10,2,520,1.921875,2.0,1.9483624004790312
delayed_lever,learned_pruned_acct,0.10,2,540,1.94140625,2.0,1.9655263269175036
delayed_lever,learned_pruned_acct,0.10,2,560,1.9609375,2.0,1.933135903181678
delayed_lever,learned_pruned_acct,0.10,2,580,1.9609375,2.0,1.9553609959398837
delayed_lever,learned_pruned_acct,0.10,2,600,1.8984375,2.0,1.9701986450382585
delayed_lever,learned_pruned_acct,0.10,2,620,1.9609375,2.0,1.980104377858438
delayed_lever,learned_pruned_acct,0.10,2,640,1.90234375,2.0,1.9867175240552661
delayed_lever,learned_pruned_acct,0.10,2,660,1.9609375,2.0,1.9446204198377777
delayed_lever,learned_pruned_acct,0.10,2,680,1.921875,2.0,1.9263794171118827
delayed_lever,learned_pruned_acct,0.10,2,700,1.98046875,2.0,1.9067323938852658
delayed_lever,learned_pruned_acct,0.10,2,720,1.98046875,2.0,1.9377338026512891
