env,method,seed,episode,sample_return,greedy_return,baseline
rware-tiny-2ag-easy-v2,rware_ppo_shared,0,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,0,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,1,200,0.0,0.0,0.0016198932199448525
rware-tiny-2ag-easy-v2,rware_ppo_shared,1,300,0.0,0.0,7.702998517973844e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,2,200,0.0,0.0,0.0044356843109869875
rware-tiny-2ag-easy-v2,rware_ppo_shared,2,300,0.0,0.0,0.00021092791335280611
rware-tiny-2ag-easy-v2,rware_ppo_shared,3,200,0.0,0.0,0.0024121000353236484
rware-tiny-2ag-easy-v2,rware_ppo_shared,3,300,0.0,0.0,0.00011470140604659898
rware-tiny-2ag-easy-v2,rware_ppo_shared,4,200,0.0,0.0,0.003006248653314057
rware-tiny-2ag-easy-v2,rware_ppo_shared,4,300,0.0,0.0,0.0038377555166673977
rware-tiny-2ag-easy-v2,rware_ppo_shared,5,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_shared,5,300,0.0,0.0,0.0054423961345408
rware-tiny-2ag-easy-v2,rware_ppo_shared,6,200,0.0,0.0,0.0012546342500424832
rware-tiny-2ag-easy-v2,rware_ppo_shared,6,300,0.0,0.0,5.9661005118630505e-05
rware-tiny-2ag-easy-v2,rware_ppo_shared,7,200,0.0,0.0,0.00021092791335280611
rware-tiny-2ag-easy-v2,rware_ppo_shared,7,300,0.0,0.0,1.0030151271398584e-05
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,0,200,0.0,0.0,0.00048006189058666756
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,0,300,0.0,0.0,2.2828146856807716e-05
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,1,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,1,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,2,200,0.0625,0.0,0.013747022043554968
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,2,300,0.0,0.0,0.0006537053746768733
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,3,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,3,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,4,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,4,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,5,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,5,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,6,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,6,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,7,200,0.0,0.0,0.007912207689584169
rware-tiny-2ag-easy-v2,rware_ppo_learned_agent_time_cf,7,300,0.0,0.0,0.00037624531886640646
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,0,200,0.0,0.0,0.00048006189058666756
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,0,300,0.0,0.0,2.2828146856807716e-05
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,1,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,1,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,2,200,0.0,0.0,0.0001826033877073667
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,2,300,0.0,0.0,8.683249041160474e-06
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,3,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,3,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,4,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,4,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,5,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,5,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,6,200,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,6,300,0.0,0.0,0.0
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,7,200,0.0,0.0,0.007912207689584169
rware-tiny-2ag-easy-v2,rware_ppo_learned_acct,7,300,0.0,0.0,0.00037624531886640646
